id,slug,name,type,city,area,description,highlights,opening_hours,dress_code,entrance_fee,age_limit,music_type,best_time,image,popular_with,vibe,price_level
16,full-moon-party,Full Moon Party,beach-party,koh-phangan,haad-rin,"World-famous monthly beach party","beach dancing, fire shows, body paint, buckets",20:00-sunrise,beachwear,600-1000 THB,18+,"EDM, trance, techno",midnight-4am,/images/nightlife/full-moon-party.webp,"party travelers",epic beach rave,varies
17,ark-bar-samui,ARK Bar Beach Club,beach-club,koh-samui,chaweng,"Beach club with parties and fire shows","beach parties, fire dancers, pool parties",10:00-02:00,beach casual,free,18+,"house, EDM",9pm-midnight,/images/nightlife/ark-bar-samui.webp,"beach lovers",beach party,mid-range
18,green-mango,Green Mango,nightclub,koh-samui,chaweng,"Samui's biggest and oldest nightclub","multiple rooms, outdoor area, foam parties",22:00-04:00,casual,200-300 THB,20+,"commercial, EDM",midnight-2am,/images/nightlife/green-mango.webp,"young tourists",classic party,mid-range
19,sound-club-samui,Sound Club,nightclub,koh-samui,chaweng,"Underground club with quality sound system","underground vibe, techno focus, small capacity",23:00-04:00,casual,300 THB,21+,"techno, house",1am-3am,/images/nightlife/sound-club-samui.webp,"music lovers",underground,mid-range
20,phi-phi-nightlife,Phi Phi Night Scene,beach-bars,koh-phi-phi,tonsai,"Beach bars and fire shows on Phi Phi","beach bars, fire shows, bucket drinks",20:00-02:00,beach casual,free,18+,mixed,10pm-midnight,/images/nightlife/phi-phi-nightlife.webp,"island hoppers",island party,budget
21,slumber-party-phi-phi,Slumber Party Hostel Bar,pool-party,koh-phi-phi,tonsai,"Pool party hostel with daily events","pool parties, beer pong, party games",15:00-02:00,swimwear,free for guests,18+,"party hits",8pm-11pm,/images/nightlife/slumber-party-phi-phi.webp,"young backpackers",hostel party,budget
22,onyx-bangkok,ONYX,nightclub,bangkok,rca,"High-end club with international DJs","state-of-art sound, LED walls, VIP tables",22:00-02:00,upscale,500-1000 THB,20+,"EDM, house",midnight-2am,/images/nightlife/onyx-bangkok.webp,"hi-so Thais, expats",luxury club,very expensive
23,sing-sing-theater,Sing Sing Theater,themed-club,bangkok,sukhumvit,"Chinese-themed theater club","theatrical decor, performances, unique cocktails",21:00-02:00,stylish,free before 11pm,21+,"house, hip-hop",11pm-1am,/images/nightlife/sing-sing-theater.webp,"trendy crowd",theatrical,expensive
24,octave-rooftop,Octave Rooftop Bar,rooftop-bar,bangkok,thonglor,"360-degree rooftop bar on 3 levels","3-level rooftop, city views, cocktails",17:00-02:00,smart casual,no cover,21+,lounge music,sunset,/images/nightlife/octave-rooftop.webp,"dates, professionals",upscale lounge,expensive
25,nana-plaza,Nana Plaza,red-light,bangkok,sukhumvit,"3-story go-go bar complex","go-go bars, ladyboy shows, beer bars",19:00-02:00,casual,varies,18+,Thai pop,9pm-11pm,/images/nightlife/nana-plaza.webp,"curious tourists",adult entertainment,expensive
