id,slug,name_en,name_nl,name_thai,category,region,spice_level,description_en,description_nl,ingredients,allergens,dietary,image,preparation_time,difficulty,price_range
11,khao-man-gai,Khao Man Gai,Khao Man Gai,ข้าวมันไก่,main-dish,central,mild,Steamed chicken with rice cooked in chicken broth and ginger-chili sauce,Gestoomde kip met rijst gekookt in kippenbouillon en gember-chilisaus,"chicken, rice, ginger, garlic, coriander, cucumber, soybean paste",none,none,/images/food/khao-man-gai.webp,45 minutes,medium,budget
12,boat-noodles,Boat Noodles,Boot Noedels,ก๋วยเตี๋ยวเรือ,soup,central,medium,Rich pork or beef noodle soup traditionally served in small portions,Rijke varkens- of rundvlees noedelsoep traditioneel geserveerd in kleine porties,"rice noodles, pork or beef, dark soy sauce, chinese five spice, morning glory, bean sprouts",none,none,/images/food/boat-noodles.webp,30 minutes,medium,budget
13,khao-soi,Khao Soi,Khao Soi,ข้าวซอย,soup,northern,medium,Creamy coconut curry noodle soup with crispy noodles on top,Romige kokoscurry-noedelsoep met krokante noedels bovenop,"egg noodles, coconut milk, curry paste, chicken, shallots, lime, pickled mustard",none,none,/images/food/khao-soi.webp,35 minutes,medium,budget
14,sai-ua,Sai Ua,Sai Ua,ไส้อั่ว,main-dish,northern,hot,Spicy northern Thai sausage with herbs and spices,Pittige noordelijke Thaise worst met kruiden en specerijen,"pork, lemongrass, kaffir lime leaves, shallots, garlic, chili, galangal",none,none,/images/food/sai-ua.webp,60 minutes,hard,mid-range
15,nam-prik-ong,Nam Prik Ong,Nam Prik Ong,น้ำพริกอ่อง,main-dish,northern,medium,Tomato and minced pork chili dip served with vegetables,Tomaten-chili dip met varkensgehakt geserveerd met groenten,"tomatoes, minced pork, shallots, garlic, dried chili, shrimp paste",none,none,/images/food/nam-prik-ong.webp,25 minutes,easy,budget
16,gaeng-hang-lay,Gaeng Hang Lay,Gaeng Hang Lay,แกงฮังเล,curry,northern,mild,Mild curry with pork belly and Burmese influences,Milde curry met varkensbuik en Birmese invloeden,"pork belly, shallots, garlic, ginger, tamarind, peanuts, palm sugar",nuts,none,/images/food/gaeng-hang-lay.webp,90 minutes,medium,mid-range
17,mee-hokkien,Mee Hokkien,Mee Hokkien,หมี่ฮกเกี้ยน,main-dish,southern,mild,Stir-fried Hokkien noodles with seafood Phuket style,Gebakken Hokkien-noedels met zeevruchten Phuket stijl,"yellow noodles, shrimp, squid, pork, soy sauce, chinese kale, egg",seafood,none,/images/food/mee-hokkien.webp,20 minutes,medium,mid-range
18,oh-aew,Oh Aew,Oh Aew,โอ้เอ๋ว,dessert,southern,none,Shaved ice dessert with jelly made from banana flour,IJsdessert met gelei van bananenmeel,"banana flour jelly, shaved ice, syrup, coconut milk",none,vegetarian,/images/food/oh-aew.webp,15 minutes,easy,budget
19,nam-prik-goong-siap,Nam Prik Goong Siap,Nam Prik Goong Siap,น้ำพริกกุ้งเสียบ,main-dish,southern,hot,Spicy dip with smoked dried shrimp,Pittige dipsaus met gerookte gedroogde garnalen,"dried shrimp, chili, garlic, shallots, lime juice, palm sugar",seafood,none,/images/food/nam-prik-goong-siap.webp,20 minutes,easy,budget
20,moo-hong,Moo Hong,Moo Hong,หมูฮ้อง,main-dish,southern,mild,Braised pork belly in sweet soy sauce Phuket style,Gestoofd varkensbuik in zoete sojasaus Phuket stijl,"pork belly, soy sauce, palm sugar, garlic, white pepper, coriander root",none,none,/images/food/moo-hong.webp,90 minutes,medium,mid-range
21,kanom-jeen-nam-ya,Kanom Jeen Nam Ya,Kanom Jeen Nam Ya,ขนมจีนน้ำยา,main-dish,southern,medium,Fermented rice noodles with fish curry sauce,Gefermenteerde rijstnoedels met viscurrysaus,"fermented rice noodles, fish, lemongrass, galangal, chili, coconut milk",seafood,none,/images/food/kanom-jeen-nam-ya.webp,45 minutes,hard,budget
22,hoy-tod,Hoy Tod,Hoy Tod,หอยทอด,main-dish,central,mild,Crispy mussel or oyster pancake with bean sprouts,Knapperige mossel- of oesterpannenkoek met taugé,"mussels or oysters, flour, egg, bean sprouts, chinese chives",seafood,none,/images/food/hoy-tod.webp,15 minutes,medium,budget
23,pla-pao,Pla Pao,Pla Pao,ปลาเผา,main-dish,central,mild,Grilled fish in salt crust served with spicy seafood sauce,Gegrilde vis in zoutkorst geserveerd met pittige zeevruchtensaus,"whole fish, coarse salt, lemongrass, lime leaves, seafood dipping sauce",seafood,none,/images/food/pla-pao.webp,40 minutes,medium,mid-range
24,yam-woon-sen,Yam Woon Sen,Yam Woon Sen,ยำวุ้นเส้น,salad,central,medium,Glass noodle salad with shrimp and ground pork,Glasnoedelsalade met garnalen en varkensgehakt,"glass noodles, shrimp, ground pork, tomatoes, onion, cilantro, lime juice",seafood,none,/images/food/yam-woon-sen.webp,20 minutes,easy,budget
25,khao-pad-sapparot,Khao Pad Sapparot,Khao Pad Sapparot,ข้าวผัดสับปะรด,main-dish,central,mild,Pineapple fried rice served in pineapple shell,Ananas gebakken rijst geserveerd in ananasschil,"rice, pineapple, shrimp, cashew nuts, curry powder, raisins",nuts seafood,none,/images/food/khao-pad-sapparot.webp,20 minutes,medium,mid-range
26,roti-sai-mai,Roti Sai Mai,Roti Sai Mai,โรตีสายไหม,dessert,central,none,Thai cotton candy wrapped in thin roti from Ayutthaya,Thaise suikerspin gewikkeld in dunne roti uit Ayutthaya,"flour, sugar, food coloring, water, salt",none,vegetarian,/images/food/roti-sai-mai.webp,30 minutes,hard,budget
27,tom-yum-noodles,Tom Yum Noodles,Tom Yum Noedels,ก๋วยเตี๋ยวต้มยำ,soup,central,hot,Spicy and sour noodle soup with fish balls,Pittige en zure noedelsoep met visballen,"rice noodles, fish balls, lime juice, chili, lemongrass, mushrooms",seafood,none,/images/food/tom-yum-noodles.webp,15 minutes,easy,budget
28,khao-mok-gai,Khao Mok Gai,Khao Mok Gai,ข้าวหมกไก่,main-dish,southern,mild,Thai-style biryani with chicken and fragrant yellow rice,Thaise biryani met kip en geurige gele rijst,"chicken, rice, turmeric, bay leaves, cinnamon, cardamom, raisins",none,none,/images/food/khao-mok-gai.webp,60 minutes,medium,budget
29,goong-pad-makham,Goong Pad Makham,Goong Pad Makham,กุ้งผัดมะขาม,main-dish,southern,mild,Prawns stir-fried in tangy tamarind sauce,Garnalen geroerbakt in pittige tamarindesaus,"prawns, tamarind paste, palm sugar, fish sauce, shallots, dried chili",seafood,none,/images/food/goong-pad-makham.webp,15 minutes,easy,mid-range
30,tom-som-pla,Tom Som Pla,Tom Som Pla,ต้มส้มปลา,soup,southern,medium,Sour and spicy fish soup with turmeric,Zure en pittige vissoep met kurkuma,"fish, turmeric, tamarind, chili, shallots, lemongrass",seafood,none,/images/food/tom-som-pla.webp,25 minutes,medium,budget
31,gai-tod-hat-yai,Gai Tod Hat Yai,Gai Tod Hat Yai,ไก่ทอดหาดใหญ่,main-dish,southern,mild,Hat Yai style fried chicken with crispy shallots,Hat Yai stijl gefrituurde kip met krokante sjalotten,"chicken, shallots, garlic, white pepper, fish sauce, rice flour",none,none,/images/food/gai-tod-hat-yai.webp,40 minutes,medium,budget
32,khao-yam,Khao Yam,Khao Yam,ข้าวยำ,salad,southern,mild,Southern Thai rice salad with herbs and coconut,Zuidelijke Thaise rijstsalade met kruiden en kokos,"rice, coconut, herbs, dried shrimp, fish sauce, lime",seafood,none,/images/food/khao-yam.webp,30 minutes,medium,budget
33,nam-ngiao,Nam Ngiao,Nam Ngiao,น้ำเงี้ยว,soup,northern,medium,Northern noodle soup with pork blood and tomatoes,Noordelijke noedelsoep met varkensbloed en tomaten,"rice noodles, pork ribs, tomatoes, fermented soybeans, pork blood, dried chili",none,none,/images/food/nam-ngiao.webp,45 minutes,hard,budget
34,laab-kua,Laab Kua,Laab Kua,ลาบคั่ว,salad,northern,hot,Northern style meat salad with spices and herbs,Noordelijke stijl vleessalade met specerijen en kruiden,"minced pork or beef, dried spices, herbs, lime juice, fish sauce",none,none,/images/food/laab-kua.webp,20 minutes,medium,budget
35,tam-khanun,Tam Khanun,Tam Khanun,ตำขนุน,salad,northern,hot,Spicy young jackfruit salad,Pittige jonge jackfruit salade,"young jackfruit, chili, garlic, lime juice, fish sauce, tomatoes",none,vegetarian option,/images/food/tam-khanun.webp,20 minutes,medium,budget
36,khao-kan-jin,Khao Kan Jin,Khao Kan Jin,ข้าวกั้นจิ๊น,main-dish,northern,mild,Steamed rice with pork blood in banana leaf,Gestoomde rijst met varkensbloed in bananenblad,"rice, pork blood, garlic, shallots, lemongrass, banana leaves",none,none,/images/food/khao-kan-jin.webp,60 minutes,hard,budget
37,roti-canai,Roti Canai,Roti Canai,โรตีกะหรี่,main-dish,southern,mild,Malaysian-Thai flatbread served with curry,Maleisisch-Thais platbrood geserveerd met curry,"flour, ghee, egg, salt, curry for dipping",none,vegetarian option,/images/food/roti-canai.webp,20 minutes,medium,budget
38,bua-loy,Bua Loy,Bua Loy,บัวลอย,dessert,southern,none,Rice flour balls in sweet coconut milk,Rijstmeelballetjes in zoete kokosmelk,"rice flour, coconut milk, palm sugar, salt, pandan",none,vegetarian,/images/food/bua-loy.webp,30 minutes,easy,budget
39,sukhothai-noodles,Sukhothai Noodles,Sukhothai Noedels,ก๋วยเตี๋ยวสุโขทัย,soup,northern,mild,Sukhothai style noodles with ground peanuts,Sukhothai stijl noedels met gemalen pinda's,"rice noodles, pork, ground peanuts, green beans, lime, fish sauce",nuts,none,/images/food/sukhothai-noodles.webp,20 minutes,easy,budget
40,kaeng-liang,Kaeng Liang,Kaeng Liang,แกงเลียง,soup,northern,medium,Spicy vegetable soup with shrimp,Pittige groentesoep met garnalen,"mixed vegetables, shrimp, shrimp paste, shallots, white pepper",seafood,none,/images/food/kaeng-liang.webp,25 minutes,easy,budget
41,moo-palo,Moo Palo,Moo Palo,หมูพะโล้,main-dish,northern,mild,Pork belly stewed in sweet soy sauce with eggs,Varkensbuik gestoofd in zoete sojasaus met eieren,"pork belly, eggs, soy sauce, palm sugar, chinese five spice, coriander root",none,none,/images/food/moo-palo.webp,90 minutes,medium,budget
42,nam-prik-noom,Nam Prik Noom,Nam Prik Noom,น้ำพริกหนุ่ม,main-dish,northern,medium,Northern green chili dip with grilled vegetables,Noordelijke groene chili dip met gegrilde groenten,"green chili, garlic, shallots, tomatoes, coriander",none,vegetarian,/images/food/nam-prik-noom.webp,25 minutes,easy,budget
43,nam-prik-kapi,Nam Prik Kapi,Nam Prik Kapi,น้ำพริกกะปิ,main-dish,southern,hot,Shrimp paste chili dip with fresh vegetables,Garnalenpasta chili dip met verse groenten,"shrimp paste, chili, garlic, lime juice, palm sugar",seafood,none,/images/food/nam-prik-kapi.webp,15 minutes,easy,budget
44,gaeng-tai-pla,Gaeng Tai Pla,Gaeng Tai Pla,แกงไตปลา,curry,southern,very hot,Intensely spicy southern fish organ curry,Intens pittige zuidelijke visorganen curry,"fish organs, chili, lemongrass, turmeric, vegetables, fish sauce",seafood,none,/images/food/gaeng-tai-pla.webp,40 minutes,hard,budget
45,goong-pad-sator,Goong Pad Sator,Goong Pad Sator,กุ้งผัดสะตอ,main-dish,southern,medium,Prawns stir-fried with stink beans,Garnalen geroerbakt met stinkbonen,"prawns, stink beans, shrimp paste, chili, garlic",seafood,none,/images/food/goong-pad-sator.webp,15 minutes,easy,mid-range
46,lod-chong,Lod Chong,Lod Chong,ลอดช่อง,dessert,southern,none,Pandan jelly noodles in coconut milk,Pandan gelei noedels in kokosmelk,"rice flour, pandan juice, coconut milk, palm sugar, ice",none,vegetarian,/images/food/lod-chong.webp,30 minutes,medium,budget
