id,slug,name_en,name_nl,region,province,description_en,description_nl,population,highlights,lat,lng,image
11,pai,Pai,Pai,Northern,Mae Hong Son,"Bohemian mountain town in a valley surrounded by misty peaks, the ultimate backpacker paradise in northern Thailand with canyon viewpoints, hot springs, and vibrant night market.","Bohemien bergstadje in een vallei omringd door mistige bergtoppen, het ultieme backpackersparadijs in Noord-Thailand met canyonuitzichten, warmwaterbronnen en levendige nachtmarkt.",2200,"Pai Canyon|Pai Walking Street|Pai Hot Springs|Bamboo Bridge",19.3622,98.4406,/images/cities/chiangmai/chiang-mai-park.webp
12,mae-hong-son,Mae Hong Son,Mae Hong Son,Northern,Mae Hong Son,"One of Thailand's most remote provincial capitals in a misty mountain valley near Myanmar border, famous for caves, hill tribes, and the Su Tong Pae bamboo bridge.","Een van de meest afgelegen provinciale hoofdsteden van Thailand in een mistige bergvallei bij de grens met Myanmar, beroemd om grotten, bergstammen en de Su Tong Pae bamboebrug.",10000,"Pang Ung|Tham Lod Cave|Su Tong Pae Bridge|Morning Mist",19.299,97.9684,/images/cities/chiangmai/chiang-mai-park.webp
13,lampang,Lampang,Lampang,Northern,Lampang,"The only city in Thailand where horse-drawn carriages still roam the streets, with magnificent Lanna temples and a famous elephant conservation center.","De enige stad in Thailand waar paardenkoetsen nog door de straten rijden, met prachtige Lanna-tempels en een beroemd olifantenopvangcentrum.",59000,"Horse-Drawn Carriages|Wat Phra That Lampang Luang|Thai Elephant Conservation Center|Kad Kong Ta Walking Street",18.2888,99.4987,/images/cities/chiangmai/chiang-mai-park.webp
14,khon-kaen,Khon Kaen,Khon Kaen,Isaan,Khon Kaen,"The unofficial capital of Isaan, a thriving university city and gateway to northeastern Thailand with dinosaur fossils, silk weaving villages, and authentic Isaan street food.","De onofficiële hoofdstad van Isaan, een bruisende universiteitsstad en poort naar Noordoost-Thailand met dinosaurusfossielen, zijdeweef-dorpen en authentieke Isaan-streetfood.",400000,"Dinosaur Museum|Bueng Kaen Nakhon Lake|Night Markets|Silk Village",16.4322,102.8236,/images/cities/bangkok/downtown-bangkok.webp
15,udon-thani,Udon Thani,Udon Thani,Isaan,Udon Thani,"Vibrant Isaan city home to the UNESCO-listed Ban Chiang Archaeological Site and the spectacular Red Lotus Sea, with a growing expat community and excellent local markets.","Levendige Isaan-stad, thuisbasis van de UNESCO-geregistreerde archeologische vindplaats Ban Chiang en de spectaculaire Rode Lotuszee, met een groeiende expatgemeenschap en uitstekende lokale markten.",290000,"Ban Chiang Archaeological Site|Red Lotus Sea|Nong Prajak Park|UD Town",17.4156,102.7872,/images/cities/bangkok/downtown-bangkok.webp
16,nakhon-ratchasima,Nakhon Ratchasima (Korat),Nakhon Ratchasima (Korat),Isaan,Nakhon Ratchasima,"The largest city in Isaan and gateway to the northeast, offering Khao Yai National Park, ancient Khmer ruins of Phimai, and the beloved Thao Suranaree Monument.","De grootste stad van Isaan en de poort naar het noordoosten, met het Khao Yai Nationaal Park, oude Khmer-ruïnes van Phimai en het geliefde Thao Suranaree Monument.",460000,"Khao Yai National Park|Thao Suranaree Monument|Phimai Historical Park|Night Markets",14.9799,102.0978,/images/cities/bangkok/downtown-bangkok.webp
17,ubon-ratchathani,Ubon Ratchathani,Ubon Ratchathani,Isaan,Ubon Ratchathani,"Major Isaan city on the Mekong River, famous for its spectacular Candle Festival, prehistoric cliff paintings at Pha Taem, and the breathtaking Sam Phan Bok canyon.","Grote Isaan-stad aan de Mekong rivier, beroemd om het spectaculaire Kaarsen Festival, prehistorische rotstekeningen bij Pha Taem en de adembenemende Sam Phan Bok kloof.",190000,"Candle Festival|Pha Taem National Park|Sam Phan Bok|Mekong River",15.2287,104.8564,/images/cities/bangkok/downtown-bangkok.webp
18,kanchanaburi,Kanchanaburi,Kanchanaburi,Central,Kanchanaburi,"Historic city on the River Kwai, known for WWII sites, stunning waterfalls, and jungle adventures. Home to the famous Bridge over the River Kwai and Erawan National Park.","Historische stad aan de rivier Kwai, bekend om WOII-locaties, prachtige watervallen en jungleavonturen. Thuisbasis van de beroemde Brug over de Rivier Kwai en Erawan Nationaal Park.",63000,"Bridge over River Kwai|Erawan National Park|Death Railway|Hellfire Pass",14.0223,99.5328,/images/cities/ayutthaya/ayutthaya-historical-park.webp
19,hua-hin,Hua Hin,Hua Hin,Central,Prachuap Khiri Khan,"Thailand's original royal beach resort town, beloved by Thai royalty for over a century with long sandy beaches, vibrant night markets, and world-class golf courses.","Thailands oorspronkelijke koninklijke badplaats, al meer dan een eeuw geliefd bij het Thaise koningshuis met lange zandstranden, levendige nachtmarkten en golfbanen van wereldklasse.",86000,"Hua Hin Beach|Cicada Market|Maruekhathaiyawan Palace|Khao Takiab",12.5684,99.9577,/images/cities/phuket/phuket-old-town.webp
20,lopburi,Lopburi,Lopburi,Central,Lopburi,"Ancient city famous for its resident macaque monkeys and well-preserved Khmer ruins, once a major center during the Khmer Empire and later the second capital under King Narai.","Oude stad beroemd om de lokale makaken en goed bewaarde Khmer-ruines, ooit een belangrijk centrum tijdens het Khmer-rijk en later de tweede hoofdstad onder Koning Narai.",58000,"Prang Sam Yot (Monkey Temple)|Narai Ratchaniwet Palace|Monkey Festival|San Phra Kan Shrine",14.7995,100.6534,/images/cities/ayutthaya/ayutthaya-historical-park.webp
21,phitsanulok,Phitsanulok,Phitsanulok,Central,Phitsanulok,"Gateway city between central and northern Thailand, home to one of the country's most revered Buddha images at Wat Phra Si Rattana Mahathat and excellent local cuisine.","Poortstad tussen centraal en Noord-Thailand, met een van de meest vereerde Boeddhabeelden van het land in Wat Phra Si Rattana Mahathat en uitstekende lokale keuken.",84000,"Wat Phra Si Rattana Mahathat|Nan River|Sergeant Major Thawee Folk Museum|Night Market",16.8211,100.2659,/images/cities/ayutthaya/ayutthaya-historical-park.webp
22,trat,Trat,Trat,Central,Trat,"Charming eastern coastal province and gateway to Koh Chang, Thailand's second-largest island. Known for pristine islands, mangrove forests, gem trading, and authentic small-town atmosphere.","Charmante oostelijke kustprovincie en toegangspoort tot Koh Chang, Thailands op een na grootste eiland. Bekend om ongerepte eilanden, mangrovebossen, edelsteenhandel en authentieke kleinstadssfeer.",22000,"Koh Chang Island|Koh Kood|Trat Night Market|Mangrove Forest",12.2431,102.5149,/images/cities/phuket/phuket-old-town.webp
23,rayong,Rayong,Rayong,Central,Rayong,"Coastal province east of Bangkok, gateway to the popular island of Koh Samet. Famous for tropical fruit orchards, long sandy beaches, fresh seafood, and relaxed atmosphere.","Kustprovincie ten oosten van Bangkok, toegangspoort tot het populaire eiland Koh Samet. Beroemd om tropische fruitboomgaarden, lange zandstranden, verse zeevruchten en ontspannen sfeer.",65000,"Koh Samet|Mae Ramphueng Beach|Rayong Aquarium|Fruit Orchards",12.6814,101.2816,/images/cities/phuket/phuket-old-town.webp
24,koh-samui,Koh Samui,Koh Samui,Southern,Surat Thani,"Thailand's second-largest island, a tropical paradise famous for palm-fringed beaches, luxury resorts, and the iconic Big Buddha Temple. Gateway to the Gulf islands.","Het op een na grootste eiland van Thailand, een tropisch paradijs beroemd om palmbomen-omzoomde stranden, luxe resorts en de iconische Grote Boeddha Tempel.",63000,"Chaweng Beach|Big Buddha Temple|Ang Thong Marine Park|Fisherman's Village",9.512,100.0136,/images/cities/phuket/phuket-old-town.webp
25,nakhon-si-thammarat,Nakhon Si Thammarat,Nakhon Si Thammarat,Southern,Nakhon Si Thammarat,"One of the oldest cities in southern Thailand, a cultural treasure with magnificent temples, traditional shadow puppetry, and Khao Luang National Park. Far from the tourist trail.","Een van de oudste steden in Zuid-Thailand, een culturele schat met prachtige tempels, traditioneel schaduwpoppenspel en Khao Luang Nationaal Park. Ver van het toeristische pad.",105000,"Wat Phra Mahathat|Kiriwong Village|Shadow Puppet Museum|Khao Luang National Park",8.4304,99.9631,/images/cities/phuket/phuket-old-town.webp
26,trang,Trang,Trang,Southern,Trang,"Laid-back southern Thai city renowned for roasted pork, hidden emerald caves, and pristine islands. Offers authentic southern Thai life with access to stunning Andaman Sea islands.","Ontspannen Zuid-Thaise stad beroemd om geroosterd varkensvlees, verborgen smaragdgroene grotten en ongerepte eilanden. Biedt authentiek Zuid-Thais leven met toegang tot prachtige Andamanzee-eilanden.",65000,"Emerald Cave (Tham Morakot)|Koh Lanta nearby|Pak Meng Beach|Trang Night Market",7.5565,99.6114,/images/cities/krabi/krabi-mountain-view.webp
27,chumphon,Chumphon,Chumphon,Southern,Chumphon,"The gateway to Koh Tao and the Gulf islands, a coastal province with unspoiled beaches, excellent diving, and kiteboarding. Refreshingly untouristy.","De toegangspoort tot Koh Tao en de Golfeilanden, een kustprovincie met ongerepte stranden, uitstekende duikmogelijkheden en kiteboarden. Verfrissend ontoeristisch.",34000,"Thung Wua Laen Beach|Koh Tao Gateway|Mu Ko Chumphon National Park|Pak Nam Chumphon",10.493,99.18,/images/cities/krabi/krabi-mountain-view.webp
28,chanthaburi,Chanthaburi,Chanthaburi,Central,Chanthaburi,"Known as the gem capital of Thailand, a charming eastern city with a thriving gem market, magnificent cathedral, tropical fruit orchards, and French-Vietnamese colonial architecture.","Bekend als de edelsteenhoofdstad van Thailand, een charmante oostelijke stad met een bloeiende edelsteenmarkt, prachtige kathedraal, tropische fruitboomgaarden en Frans-Vietnamese koloniale architectuur.",75000,"Gem Market|Cathedral of the Immaculate Conception|Oasis Sea World|Tropical Fruit Orchards",12.6113,102.1032,/images/cities/bangkok/downtown-bangkok.webp
29,chiang-khan,Chiang Khan,Chiang Khan,Isaan,Loei,"A charming riverside town on the Mekong River, famous for its beautiful wooden houses, morning alms giving ceremony, stunning Mekong sunsets, and authentic Isaan culture.","Een charmant stadje aan de Mekong-rivier, beroemd om prachtige houten huizen, ochtendlijke aalmoezenceremonie, prachtige Mekong-zonsondergangen en authentieke Isaan-cultuur.",42000,"Walking Street|Chiang Khan Skywalk|Morning Alms Giving|Mekong Sunset|Kaeng Khut Khu Rapids",17.8944,101.6639,/images/cities/bangkok/downtown-bangkok.webp
30,nong-khai,Nong Khai,Nong Khai,Isaan,Nong Khai,"Gateway city on the Mekong River connecting Thailand to Laos via the Friendship Bridge. Known for stunning riverside temples, dramatic cliff viewpoints, and adventure caves.","Poortstad aan de Mekong die Thailand met Laos verbindt via de Vriendschapsbrug. Bekend om prachtige riviertempels, dramatische klifuitkijkpunten en avonturengrotten.",130000,"Friendship Bridge|Mekong Riverside|Cliff Temples|Den Ping Cave",17.8783,102.7453,/images/cities/chiangmai/chiang-mai-temple.webp
31,bueng-kan,Bueng Kan,Bueng Kan,Isaan,Bueng Kan,"Remote Isaan province along the Mekong famous for the Three Whale Rock — ancient 75-million-year-old red sandstone formations shaped like swimming whales. Off-the-beaten-path with stunning viewpoints and Jurassic Park-like landscapes.","Afgelegen Isaan-provincie langs de Mekong, beroemd om de Drie Walvissenrots — oeroude 75 miljoen jaar oude rode zandsteenformaties in de vorm van zwemmende walvissen. Buiten de gebaande paden met adembenemende uitzichtpunten en Jurassic Park-achtige landschappen.",39000,"Three Whale Rock|Mekong Viewpoints|Red Sandstone Formations|Rice Paddies",18.3609,103.6512,/images/cities/chiangmai/chiang-mai-park.webp
32,nakhon-phanom,Nakhon Phanom,Nakhon Phanom,Isaan,Nakhon Phanom,"Charming Mekong riverside city with deep Vietnamese cultural connections. Famous for its golden Lao-style stupas, the Ho Chi Minh House, incredible Vietnamese-Thai fusion food, and stunning sunset boat cruises on the Mekong with views of the Laotian mountains.","Charmante stad aan de Mekong met diepe Vietnamese culturele banden. Beroemd om gouden Laotiaanse stupa's, het Ho Chi Minh Huis, ongelooflijk Vietnamees-Thais fusie-eten en adembenemende zonsondergangcruises op de Mekong met uitzicht op de Laotiaanse bergen.",85000,"Ho Chi Minh House|Golden Stupas|Mekong Sunset Cruises|Vietnamese-Thai Food|Mekong Promenade",17.4048,104.7771,/images/cities/chiangmai/chiang-mai-temple.webp
